Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
2025-08-06,M & B Engineering Ltd,650.0,36.72,38.24,32.55,36.2,385,386.0,0.26,426.85,426.15,10.87
2025-08-06,Sri Lotus Developers & Realty Ltd,792.0,163.9,57.71,20.28,69.14,150,179.1,19.4,201.1,199.72,34.07
2025-08-06,National Securities Depository Ltd (NSDL),4011.6,103.97,34.98,7.73,41.01,800,880.0,10.0,1294.05,61.76,0.0
2025-08-05,Aditya Infotech Ltd,1300.0,133.21,72.0,50.87,100.69,675,1018.0,50.81,1064.6,1062.7,57.72
2025-08-05,Laxmi India Finance Ltd,254.26,1.3,1.84,2.22,1.87,158,136.0,-13.92,149.0,150.0,-5.7
2025-08-01,Shanti Gold International Ltd,360.11,117.33,151.48,30.37,81.17,199,229.1,15.13,254.0,255.9,27.64
2025-07-31,Brigade Hotel Ventures Limited,759.6,5.42,1.92,6.4,4.48,90,82.0,-8.89,85.95,86.0,-4.5
2025-07-30,GNG Electronics Limited,460.44,266.21,227.67,46.84,147.93,237,350.0,47.68,321.2,321.95,35.53
2025-07-30,Indiqube Spaces Limited,700.0,14.35,8.27,12.9,12.41,237,218.7,-7.72,216.3,216.33,-8.73
2025-07-21,Anthem Biosciences Limited,3395.0,182.65,42.36,5.64,63.86,570,723.1,26.86,753.15,754.8,32.13
2025-07-17,Smartworks Coworking Limited,582.56,24.41,22.78,3.53,13.45,407,436.1,7.15,462.3,461.2,13.59
2025-07-14,Travel Food Services Limited,2000.0,7.7,1.58,0.69,2.88,1100,1126.2,2.38,1148.15,1148.0,4.38
2025-07-09,Crizac Limited,860.0,134.35,76.15,10.24,59.82,245,280.0,14.29,298.35,299.5,21.78
2025-07-03,Indogulf Cropsciences Limited,200.0,33.26,48.39,14.78,25.98,111,111.0,0.0,106.9,106.88,-3.69
2025-07-02,HDB Financial Services Limited,12500.0,55.47,9.99,1.41,16.69,740,835.0,12.84,741.9,741.65,0.26
2025-07-02,Sambhv Steel Tubes Limited,540.0,62.32,31.82,7.99,28.46,82,110.1,34.27,120.8,120.61,47.32
2025-07-01,Globe Civil Projects Limited,119.0,99.76,143.15,53.72,86.04,71,91.1,28.31,81.33,81.29,14.55
2025-07-01,Kalpataru Limited,1590.0,3.12,1.31,1.29,2.26,414,414.1,0.02,408.7,408.25,-1.28
2025-07-01,Ellenbarrie Industrial Gases Limited,852.53,64.23,15.21,2.14,22.19,400,492.0,23.0,522.4,520.75,30.6
2025-06-25,Arisinfra Solutions Limited,499.6,1.42,3.14,5.59,2.65,222,209.1,-5.81,149.2,147.99,-32.79
2025-06-20,Oswal Pumps Limited,1387.34,88.08,36.7,3.6,34.42,614,632.0,2.93,763.8,763.1,24.4
2025-06-04,Scoda Tubes Limited,220.0,69.51,113.03,19.4,53.78,140,140.0,0.0,184.1,184.44,31.5
2025-06-03,Prostarm Info Systems Limited,168.0,104.49,222.14,39.49,97.2,105,125.0,19.05,210.95,209.42,100.9
2025-06-02,Aegis Vopak Terminals Limited,2800.0,3.3,0.56,0.77,2.09,235,220.0,-6.38,241.8,240.69,2.89
2025-06-02,Schloss Bangalore Limited,3500.0,7.46,1.02,0.83,4.5,435,406.5,-6.55,438.45,438.3,0.79
2025-05-28,Belrise Industries Limited,2150.0,108.35,38.33,4.27,41.3,90,98.5,9.44,137.0,136.18,52.22
2025-05-27,Borana Weaves Limited,144.89,87.21,237.42,200.53,148.78,216,243.0,12.5,220.8,219.81,2.22
2025-05-06,Ather Energy Limited,2980.8,1.7,0.66,1.78,1.43,321,326.05,1.57,411.55,410.4,28.21
2025-02-24,Quality Power Electronics Limited,858.7,1.03,1.45,1.83,1.29,425,432.05,1.66,804.7,805.8,89.34
2025-02-19,Hexaware Technologies Limited,8750.0,9.09,0.2,0.11,2.66,708,731.0,3.25,708.95,707.5,0.13
2025-02-17,Ajax Engineering Limited,1268.88,14.41,6.46,1.92,6.44,629,593.0,-5.72,717.3,715.65,14.04
2025-02-04,Dr Agarwal's Healthcare Limited,3027.26,4.64,0.4,0.41,1.55,402,396.9,-1.27,451.5,452.85,12.31
2025-01-29,Denta Water & Infrastructure Limited,220.5,236.94,507.27,90.56,221.68,294,330.0,12.24,316.05,315.0,7.5
2025-01-23,Stallion India Fluorochem Limited,199.45,172.93,422.42,96.89,188.37,90,120.0,33.33,123.8,122.86,37.56
2025-01-20,Laxmi Dental Limited,698.06,110.38,147.95,76.24,114.42,428,528.0,23.36,398.05,400.4,-7.0
2025-01-17,Capital Infra Trust,1578.0,0.58,4.24,0.0,2.23,99,99.0,0.0,78.98,78.99,-20.22
2025-01-14,Quadrant Future Tek Limited,290.0,132.54,254.71,246.94,186.66,290,374.0,28.97,384.2,382.6,32.48
2025-01-13,Standard Glass Lining Technology Limited,410.05,331.6,268.5,64.99,183.18,140,176.0,25.71,165.8,168.0,18.43
2025-01-07,Indo Farm Equipment Limited,260.15,242.4,503.83,104.92,229.68,215,258.4,20.19,210.5,209.8,-2.09
2024-12-31,Unimech Aerospace and Manufacturing Limited,500.0,317.63,263.78,56.74,175.31,785,1491.0,89.94,1097.0,1099.9,39.75
2024-12-30,Ventive Hospitality Limited,1600.0,9.08,13.85,5.87,9.8,643,718.15,11.69,744.25,741.15,15.75
2024-12-30,Carraro India Limited,1250.0,2.21,0.6,0.71,1.12,704,660.0,-6.25,416.95,416.4,-40.77
2024-12-30,Senores Pharmaceuticals Limited,582.11,94.66,96.11,89.23,93.41,391,593.7,51.84,660.55,661.0,68.94
2024-12-27,Transrail Lighting Limited,838.91,201.06,76.41,22.07,80.8,432,585.15,35.45,787.2,782.85,82.22
2024-12-27,Dam Capital Advisors Limited,840.25,166.33,98.62,27.13,82.08,283,392.9,38.83,219.7,218.93,-22.37
2024-12-27,Mamata Machinery Limited,179.35,235.88,274.38,138.08,194.95,243,600.0,146.91,423.1,422.7,74.12
2024-12-27,Sanathan Textiles Limited,550.0,75.62,42.21,8.93,35.12,321,419.1,30.56,460.4,458.35,43.43
2024-12-27,Concord Enviro Systems Limited,500.33,17.32,14.2,5.56,10.67,701,832.0,18.69,537.35,541.1,-23.35
2024-12-20,International Gemmological Institute (India) Limited,4225.0,45.8,24.84,11.21,33.78,417,504.85,21.07,336.9,337.35,-19.21
2024-12-19,Inventurus Knowledge Solutions Limited,2497.92,80.64,23.25,14.55,52.68,1329,1856.0,39.65,1582.55,1578.2,19.08
2024-12-18,Vishal Mega Mart Limited,8000.0,80.75,14.25,2.31,27.28,78,110.0,41.03,142.2,141.26,82.31
2024-12-18,One Mobikwik Systems Limited,572.0,119.5,108.95,134.67,119.38,279,442.25,58.51,230.35,229.41,-17.44
2024-12-18,Sai Life Sciences Limited,3042.62,30.93,4.92,1.37,10.26,549,660.0,20.22,884.1,878.1,61.04
2024-12-06,Suraksha Diagnostic Limited,846.25,1.74,1.41,0.95,1.27,441,437.0,-0.91,297.55,298.05,-32.53
2024-11-29,Enviro Infra Engineers Limited,650.3,157.05,153.8,24.48,89.9,148,218.0,47.3,247.0,246.45,66.89
2024-11-27,NTPC Green Energy Limited,10000.0,3.32,0.81,3.44,2.42,108,111.6,3.33,103.6,103.4,-4.07
2024-11-22,Zinka Logistics Solution Limited (BlackBuck),1114.72,2.76,0.24,1.66,1.86,273,279.05,2.22,537.15,536.0,96.76
2024-11-14,Niva Bupa Health Insurance Company Limited,2200.0,2.06,0.68,2.73,1.8,74,78.5,6.08,80.43,80.18,8.69
2024-11-13,Swiggy Limited,11327.4,6.02,0.41,1.14,3.59,390,412.0,5.64,399.45,396.55,2.42
2024-11-13,ACME Solar Holdings Limited,2900.0,3.54,0.97,3.1,2.75,289,259.0,-10.38,276.35,278.25,-4.38
2024-11-12,Sagility India Limited,2106.4,3.52,1.93,4.16,3.2,30,31.06,3.53,44.73,44.46,49.1
2024-11-04,Afcons Infrastructure Limited,5430.0,3.79,5.05,0.94,2.63,463,430.05,-7.12,422.0,422.3,-8.86
2024-10-30,Godavari Biorefineries Limited,554.75,2.76,0.9,1.71,1.83,352,310.55,-11.78,284.0,287.45,-19.32
2024-10-28,Deepak Builders & Engineers India Limited,260.04,13.91,82.47,39.79,41.54,203,198.5,-2.22,132.2,132.68,-34.88
2024-10-28,Waaree Energies Limited,4321.44,208.63,62.49,10.79,76.34,1503,2550.0,69.66,3171.1,3162.3,110.98
2024-10-22,Hyundai Motor India Limited,27858.8,6.97,0.6,0.5,2.37,1960,1931.0,-1.48,2234.75,2225.1,14.02
2024-10-15,Garuda Construction and Engineering Limited,264.1,1.24,9.03,10.81,7.55,95,103.2,8.63,171.4,170.33,80.42
2024-10-04,Diffusion Engineers Limited,157.96,95.74,207.6,85.61,114.49,168,188.0,11.9,336.5,335.85,100.3
2024-10-03,KRN Heat Exchanger and Refrigeration Limited,341.95,253.04,431.63,98.29,214.42,220,470.0,113.64,911.25,911.0,314.2
2024-09-30,Manba Finance Limited,150.84,148.55,511.62,143.95,224.05,120,150.0,25.0,138.55,138.8,15.46
2024-09-24,Arkade Developers Limited,410.0,163.16,163.02,51.39,106.83,128,175.9,37.42,190.6,190.0,48.91
2024-09-24,Northern ARC Capital Limited,777.0,240.79,142.41,31.08,110.91,263,351.0,33.46,230.05,229.21,-12.53
2024-09-24,Western Carriers Limited,492.88,27.99,44.71,25.95,30.57,172,170.0,-1.16,120.0,120.0,-30.23
2024-09-17,P N Gadgil Jewellers Limited,1100.0,136.85,56.08,16.58,59.4,480,834.0,73.75,554.1,553.05,15.44
2024-09-16,Tolins Tyres Limited,230.0,25.42,27.41,21.52,23.89,226,227.0,0.44,155.0,154.7,-31.42
2024-09-16,Bajaj Housing Finance Limited,6560.0,209.36,41.51,7.04,63.61,70,150.0,114.29,113.2,113.02,61.71
2024-09-16,Kross Limited,500.0,23.32,22.24,10.76,16.81,240,240.0,0.0,162.7,162.66,-32.21
2024-09-12,Shree Tirupati Balajee Agro Trading Company Limited,169.65,150.87,210.12,73.22,124.75,83,92.9,11.93,50.37,50.03,-39.31
2024-09-09,Gala Precision Engineering Limited,167.93,232.54,414.62,91.95,201.41,529,750.0,41.78,814.55,816.9,53.98
2024-09-06,Baazar Style Retail Limited,834.68,81.83,59.43,9.12,40.66,389,389.0,0.0,315.2,313.7,-18.97
2024-09-04,Ecos (India) Mobility & Hospitality Limited,601.2,136.85,71.23,19.79,64.26,334,391.3,17.16,293.25,298.15,-12.2
2024-09-03,Premier Energies Limited,2830.4,216.67,50.04,7.69,74.38,450,991.0,120.22,1015.45,1012.7,125.66
2024-08-28,Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206,290.0,40.78,319.05,317.4,54.88
2024-08-26,Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900,1291.2,43.47,2217.0,2183.0,146.33
2024-08-20,Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160,200.0,25.0,91.81,91.26,-42.62
2024-08-13,Brainbees Solutions Limited,4193.73,19.3,4.68,2.31,12.22,465,625.0,34.41,373.65,373.85,-19.65
2024-08-13,Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108,230.0,112.96,124.35,123.1,15.14
2024-08-09,Ola Electric Mobility Limited,6145.56,5.31,2.4,3.92,4.27,76,75.99,-0.01,39.99,39.9,-47.38
2024-08-08,Ceigall India Limited,1252.66,31.5,14.42,3.77,13.78,401,413.0,2.99,247.25,247.52,-38.34
2024-08-06,Akums Drugs and Pharmaceuticals Limited,1856.74,90.09,42.21,21.3,63.56,679,725.0,6.77,473.0,474.3,-30.34
2024-07-26,Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95,106.4,12.0,85.87,85.39,-9.61
2024-07-10,Emcure Pharmaceuticals Limited,1952.03,195.83,48.32,7.21,67.87,1008,1325.05,31.45,1390.5,1395.0,37.95
2024-07-10,Bansal Wire Industries Limited,745.0,146.05,51.46,13.64,59.57,256,352.05,37.52,366.15,365.05,43.03
2024-07-03,Vraj Iron & Steel Limited,171.0,163.9,208.81,54.93,119.04,207,240.0,15.94,162.0,161.43,-21.74
2024-07-02,Allied Blenders and Distillers Limited,1500.0,50.37,32.4,4.51,23.55,281,318.1,13.2,494.75,493.0,76.07
